Artist ID,Artists,Streams
374,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",5505879
375,"DJ Matt D, Menor MC, MC GP, Vulgo FK",5464169
376,"Tiësto, Dzeko, Preme, Post Malone",19001953
377,"Rudimental, Jess Glynne, Macklemore, Dan Caplen",8729037
378,"Nicky Jam, J Balvin, Maluma, Ozuna",8531532
379,"Daddy Yankee, NATTI NATASHA, Becky G, Bad Bunny",7875161
380,"Sia, Diplo, Labrinth, LSD",5739896
381,"Rae Sremmurd, Swae Lee, Slim Jxmmi, Juicy J",4526520
382,"YG, 2 Chainz, Big Sean, Nicki Minaj",4486206
383,"Imagine Dragons, JID, Arcane, League of Legends",8281490
384,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",7835701
385,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",9165251
386,"Metro Boomin, Swae Lee, NAV, A Boogie Wit da Hoodie",8956961
387,"Veigh, Bvga Beatz, Prod Malax, Supernova Ent",8756418
388,"SAIKO, Quevedo, Feid, Mora",7556830
389,"Joel Corry, Jax Jones, Charli XCX, Saweetie",10642295
390,"Skylar Grey, Polo G, Mozzy, Eminem",7860242
391,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",7173314
392,"Internet Money, Gunna, Don Toliver, NAV",5626548
393,"Nardo Wick, G Herbo, Lil Durk, 21 Savage",5178362
